Тамамланыуы: 1227 йыл, 18 август
	Башҡа титулдары: хан, ҡаған
	Темуджин 1162 йылдар тирәһендә Монгол ҡәбиләһендә Бурхан Халдун тауы, Онон һәм Керулен йылғалалары эргәһендә, Монголияның хәҙерге башҡалаһы Улан-Баторҙан йыраҡ түгел урында тыуа.  Ван-Хан ҡыҙын Темуджиндың оло улы Джучиға бирергә риза булмауы ике хан араһы тулыһынса өҙөлөүгә һәм хатта араларында һуғыш тоҡаныуға килтерә.  Яуҙан һуң Темуджин ғәскәренә ҡушылырға теләгән яугирҙарҙың береһе нәҡ ул ханды яралауын таный, бының өсөн ул Темуджиндан Джебе — Уҡ исемен ала.  Ә Темуджинды, үс алыуынан ҡурҡып, әсирлеккә ала һәм үҙенең ҡоло итә.  Сыңғыҙхан икенсе мәртәбә шаһтың үҙеңә илселәр ебәрә.  Монгол ғәскәре Ортарҙы тиҙ арала баҫып ала, ҡала кешеләре ҡырыла, башлығы Иналханы Сыңғыҙ ҡолағына һәм күҙҙәренә иретелгән көмөш ҡойоп язаларға бойора.  Венгр монахы Юлиандың юл яҙмаларына таянып, был ваҡиға 1220—1223 йылдар тирәһендә булыған тип иҫәпләнә.  Көнсығыштағы башҡорт ырыуҙары берләшмәһе үҙ ирке менән ҡушылған булһа, Көнбайыштағы башҡорттар оҙаҡ ваҡыт ҡаршылыҡ күрһәтеп, Волга буйы Болғары ханлығы ҡолатылғас ҡына, монгол дәүләтенә инергә мәжбүр булғандар[3].  Иртән яу асырға һөйләшәләр, әммә, Джамуха менән Ван-Хан, Темуджиндың найман ғәскәрҙәренән ҡырылыуын теләп, төндә Темуджиндың ғәскәрен ҡалдырып ҡаса.  1218 йылда, Ҡара Ҡытай ҡолағас, Монгол империяһы көнбайышта Балхаш күленә тиклем киңәйеп, Хәрәзм империяһы менән сикләнә.
	Башҡорт иле

	Башҡорт иленең монгол ханлығына инеү үҙенсәлектәре төплө өйрәнелмәгән.  Хәрәзмдең баш ҡалаһы Сәмәрҡәнд ҡолағас, ҡала башлыҡтары, ябай кешеләрҙе ҡалдырып, Бохараға ҡаса.  Цзинь династияһы ғәскәре башлығы тәүге мөмкинлек сыҡҡас та монголдарға ҡаршы яу асмай, хаталана.  Был яу ваҡытында Темуджин еңелә һәм уның ғәскәре ярайһы ғына хәлһеҙләнә.

	Унан һуңғы яуҙа — 1196 йылда Тоорил хан менән берлектә, Ҡытайҙан Цзинь ғәскәренә ҡушылып, татарҙарға ҡаршы барғанда, улар татарҙарҙы ҡыйратып, мул табыш алып ҡайтыуға өлгәшә.  Кучулук ғәскәре Ҡашҡарҙың көнбайышында монголдарҙан еңелә.  Сүбәдәй кенәздәрҙе ғәфү итергә йыйынмай.  Артабан монгол хандары Ҡоролтайында Темуджин Сыңғыҙхан тип иғлан ителә.
	Сит илдәрҙе баҫып алыуы
	Көнбайыш Си Ся династияһы

	1206 йылда Сыңғыҙхан Монгол империяһын нигеҙләгән ваҡытҡа, уның көнбайыш күршеһе — Көнбайыш танғут Си Ся династияһы, көнсығыш һәм көньяҡтан төньяҡ Ҡытайҙа хакимлыҡ иткән һәм быуаттар дауамында монгол ҡәбләләрен үҙ хакимлығы аҫтында тотҡан Цзинь династияһы була.

	Темуджин иң беренсе нәүбәттә ғәскәрен монгол ерҙәренә яҡыныраҡ торған Көнбайыш Си Ся империяһына ҡаршы алып бара.  Цзинь хакимдары татарҙарҙы еңеү хөрмәтенә Темуджинға ҡытай титулы — Джаутхури, Тоорилға Ван титулын бирә.  Асыуланған Сыңғыҙхан иң ҙур баҫып алыу яуҙарының береһен башлай, был яуға ул 20 төмән — 200 000 кешене, иң оҫта ғәскәр етәкселәрен, үҙенең ҡайһы бер улдарын йыя.  Йыш ҡына был ҡәбиләләр бер береһенә ҡаршы барымталар, ҡарымталар менән барып, бер-береһен талар була.

	Темуджиндың әсәһе Оэлун уны ҡырыҫ шарттарҙа тере ҡалырға өйрәтә, Монголияның сәйәси хәле менән таныштыра, башҡа ҡәбиләләр менән берлек кәрәклеген дә аңлатыусы була, әсәһенең һабаҡтары уның ҡәбиләләрҙе берләштереү сәйәсәтен башлауына булышлыҡ итә.

	16 йәштәр тирәһендә, Темучин үҙенә йәрәшелгән Бортеға өйләнә.  Темуджин Тоорилға ярҙам итә.

	1200 йылда Ван-хан менән Темуджин тайчиуттарға ҡаршы поход ойоштора.  Монголдар Грузияға баҫып инә, Генуялағы Каффа (хәҙерге Феодосия) һәм Ҡырым ҡәлғәләрен ала.  Икенсе өлөшө Джебе етәкселеге аҫтында Хәрәзмдең көньяҡ-көнсығышына табан, Сәмәрҡәнд ҡалаһына табан юллана.  Оэлун балалары менән далала бөтөнләй яҡлауһыҙ ҡала.

	Темуджин һәм уның ғаиләһе бер нисә йыл бик ярлы, төрлө емештәр менән, Темуджин һәм уның ағалары, ҡустылары ара-тирә һунарҙар ваҡытында алып ҡайтҡан ваҡ йәнлектәр менән туҡланып йәшәй.

	1182 йылда Темуджин ғаиләһенең йыраҡ туғаны Таргутай-Кирилтух, Есугей үлгәндән һуң, уның ерҙәренә хужа булып ала.  Был оҙаҡ йылдар бер-береһе менән дошманлашып, Ҡытай династиялары тарафынан ҡыҫылып, иҡтисади тотороҡһоҙлоҡ кисергән монголдар өсөн оло уңыш була.  Шулай ҙа, Темужин артабан, йола буйынса, бер нисә ҡатын алғас та, Борте уның төп ҡатыны булып ҡала.

	Темуджин Тоорил хан менән берләшкәндән һуң, ҡеүәт йыя башлай.  Был йыйылма ғәскәр меркеттәрҙе ҡыйрата һәм Темуджин ҡатынын әсирлектән ҡотҡара.  Найман башлығы Таян хан Темуджинды юҡ итеп, монгол далаларында берҙән-бер ҡеүәтле көс булырға ниәтләй, Темуджин, быны күҙаллап, наймандарға ябырыла.  Был ваҡытҡа монгол ғәскәре унлап йылдар дауамында барған Көнбайыш Си Ся һәм Цзинь династияһына ҡаршы һуғыштан йонсоған була.  Мстислав Галичский һәм Мстислав III Киевский ғәсҡәренән торған, әммә насар ойошторолған 80 000 кешелек Киев Русияһы ғәскәре уның юлын ҡамай.  Башта еңелеп, ҙур юғалтыуҙарға тарыһа ла, Темуджин тиҙ арала көс йыйып, Джамуха менән Тоорил ғәскәренә көтөлмәгәндә ябырыла.  1161 йылда, Цзинь династияһы — ул ваҡытта Азияла иң ҡеүәтле империя Ҡытайҙа хаким иткән династия — үҙ ҡурсауын монголдарҙан татарҙарға күсергәс, татарҙар Хабул ханды үлтерә.  Шулай итеп, Хәрәзм империяһы юҡҡа сыға.
	Грузия һәм Киев Русияһы

	1220 йылда, Хәрәзм ғәскәрен тулыһынса юҡҡа сығарғандан һуң, монгол ғәскәренең бер өлөшө Джебе һәм Сүбәдәй етәкселегендә көнбайыш ерҙәргә юллана.  Сыңғыҙхан, ысын исеме Темуджин Һөҙөмтәлә, татарҙар ҡәбиләһенең йәше-ҡарты, ҡатын-ҡыҙҙар — барыһы ла үлтерелә.

	Тоорилдың улы Нилх Темуджиндың ҡеүәте үҫә барыуынан һәм уның атаһы менән йылы мөнәсәбәттә булынынан көнләшә.  Тайчиуттарға ярҙамға меркеттәр килә, әммә еңеү Темуджин менән Ван-Хан ғәскәре яғында була, ә тайчиут ҡәбиләһе башлыҡтары, күп кешеләрен ҡалдырып, ҡаса.  Ҡеүәтлерәк Цзинь династияһы Си Ся императорына ярҙамға килмәйәсәген ул алдан күремләй.  Джамуха, күк йөҙөндә бер генә Ҡояш балҡый ала, тигән һүҙҙәр менән, Темуджиндың берләшеү тәҡдименән баш тарта һәм үҙен Темуджин үҙ ҡулдары менән ҡанһыҙ үлтереүен һорай.  Монгол ҡанундары буйынса, Темуджин уны ҡан ҡойоуһыҙ, умыртҡа һөйәген һындырып үлтерә.

	Шулай итеп, Темуджин монгол далаларында берҙән-бер хан булып ҡала, даланың меркет, найман, уйғур, кирәй, татар һәм башҡа ҡәбиләләре уға буйһондорола.  1223 йылда, Калка йылғаһы буйындағы яуҙа Сүбәдәй ғәсҡәре күпкә ҙурыраҡ Киев ғәскәрен еңә, шул уҡ ваҡытта, Һамар ҡултығында күрше Волга Булғарҙары ғәскәренән еңелә.  Джамуха Темуджиндан ҡустыһының үлтереүсеһен уға биреүен талап итә, һәм кире яуап алып, яу менән килә.  Уның урынына Цзинь ғәскәренең башлығы монгол яғына илсе ебәрә, уныһы иһә артылыштың икенсе яғында Цзинь ғәскәре тороуы тураһында әйтә.  Тайчар дуҫтары менән Темуджин көтөүенән аттарҙы ҡыуып алып китергә маташа, был ваҡытта көтөүселәрҙен береһе Тайчарҙы уҡ менән атып үлтерә.  Ҡаты яуҙан һуң татарҙар ҡыйратыла, атаһын, олатаһын үлтереүсе ҡәбиләнән Темуджин аяуһыҙ үс ала — ул ҡәбиләне бөтөнләй юҡҡа сығарырға бойора.  Өсөнсө өлөшөн Сыңғыҙхан һәм Тулуй Хәрәзмдең төньяҡ-көнбайышына табан алып китә.

	Шаһ үҙенең ғәскәрен бер нисә кесе өлөшкә бүлеп, төрлө ҡалаларға ебәрә.  Сыңғыҙхан шаһ биләмәләрен генә түгел, ҡалаларҙы, хатта яҡын-тирәләге ауылдарҙы тулыһынса юҡ итергә бойора.

	Шаһтың улы Джәләл әд-Дин атаһының ғәскәрен етәкләп, күпмелер ваҡыт монголдарға ҡаршы тора.  Шул йылдарҙа көнсығыш Монголияның ҡеүәтле найман ҡәбиләһе ханы Инанча хан үлеп китә, хандың ике улы Буйрук хан һәм Таян хан араһыда вариҫлыҡ өсөн ыҙғыш ҡуба.  Темуджин Джамухаға ҡайтанан дуҫлыҡ тәҡдим итә һәм үҙенең яғына сығырға әйҙәй.  Ван-Хан, ауыр яуҙы күтәрә алмай, ярҙам һорап Темуджинға мөрәжәғәт итә.  Был һуғыш ваҡытында монголдар Цзинь ғәскәренән меңләгән һуғышсыны ҡырып һала.  Тәүге өлөшөн улы Джучи Хәрәзмдың төньяҡ-көнсығышына алып китә.  Тик Темуджинға ҡаршы яуҙа был берләшкән ғәскәр ҡыйратыла, ә еңелгән ғәскәр башлыҡтары Джамуханы гурхан итеп таныуҙан баш тарта.

	1202 йылда Темуджин күптәнге дошмандары — татарҙарға ябырыла.  Артабан ул хандың иң тоғро нүкәрҙәренең береһенә әйләнә.

	1201 йылда татар, тайчиут, меркет, ойрат һәм башҡа ҡәбиләләрҙән йыйылған ҡоролтай Темуджинға ҡаршы берләшеп көрәшергә ниәтләп, ҡоролтай йыя, был ҡоролтай Джамуханы хандарҙың ханы — гурхан итеп һайлай.  Ошо ыҙғыштан файҙаланып, Ван-Хан, Джамуха, Темуджин Буйрук ханға ябырыла һәм уның ғәскәрен ҡыйрата, тик кире ҡайтҡан саҡта, найман ғәскәре юлдарын ҡамай.  1215 йылда Сыңғыҙ Цзинь династияһының баш ҡалаһы Чжундуны (хәҙерге Пекин) ҡамап, баҫып ала һәм талай.  Ысынлап та, танғуттар цзиндарҙан ярҙам һорай, ләкин уларҙың үтенестәре кире ҡағыла.  Темуджин ҡатынын ҡайтарыу өсөн ярҙам һорап, кирәйҙәр ханы, атаһының туғандаш дуҫы — андаһы Тоорилға бара.  Артабан улар Ҡара диңгеҙ буйында ҡыш сыға һәм кире юлға борола.  Шаһ уларҙың береһен генә иҫән ҡалдыра, ҡалғандарының башын киҫтерә.  Был ваҡиғаның аныҡ ваҡыты билдәле түгел, шулай ҙа 1219 йылдың йәйендә булған тигән фекер бар[2].  Сыңғыҙхан ғәскәрен өс өлөшкә бүлә.  Был хәрәкәтте тасуирлаған бер нисә фекер йәшәп килә.  Шул уҡ йылда Темуджин ғәскәре меркеттәрҙе ҡыйрата.

	Бер нисә яуҙан һуң, 1206 йылда Джамуханы үҙ кешеләре Темуджинға тотоп бирә.  Төп ғәскәрҙең бүлгеләнеүе Хәрәзмдең еңелеүенә төп сәбәпсе була.  Ҡытай императоры иленең төньяғын монголдарға ҡалдырып, баш ҡалаһын көньяҡҡа, Кайфын ҡалаһына күсерергә мәжбүр була.
	Ҡара Ҡытай ҡағанаты

	Был арала Кучулук — Темуджин баҫып алып, монголдарға буйһондорған найман ханы Таян хандың улы — көнбайышҡа ҡаса һәм һәм шунда яңы көс йыя.  Монгол ҡанундары буйынса, рус кенәздәренең алтыһы ла, шул иҫәптән Мстислав III Киевский, ҡанһыҙ үлемгә дусар ителә.

	Сүбәдәй һәм Джебе был киң билдәле сәйәхәт ваҡытында бөтә Каспий диңгеҙе буйын урап үтә һәм юлында осраған бөтә ғәскәрҙе лә тиерлек ҡырып һала.  Әхмәтзәки Вәлиди Туған фекере буйынса башҡорттар монгол дәүлетенә 1207—1208 йылдарҙа ҡушылған булырға тейеш.  Сынғыҙхандың баҫып алыу сәйәсәте менән башҡорттарҙың сәйәсәте араһындағы мөнәсәбәттең төп үҙенсәлеге булып, башҡорттарҙың халыҡ булараҡ һаҡланып ҡалауҙары, баҫып алыусылар менән килеп төпләгән милләттәрҙе артабан башҡортлаштыра алыуы ихтибарға лайыҡ.
	Хәрәзм империяһы

	Был ваҡытта Хәрәзм династияһы башында шаһ Ала әд-дин Мөхәммәт тора.  Шуға Сыңғыҙ Кучулукҡа ҡаршы йәш ғәскәр башлығы Джебе етәкселеге аҫтында ике генә төмәнен ебәрә (20 000 һуғышсы).

	Һуғышсыларҙың аҙлығы арҡаһында, монголдар һуғыш алымдарын үҙгәртергә мәжбүр була — улар Кучулук яҡлылар араһында ризаһыҙлыҡ ойоштора, был Ҡара Ҡытайҙы көсһөҙләндерә.  Шулай уҡ Алтын Урҙа тарихы буйынса күренекле белгес Г. А. Федоров-Давыдов башҡорттар монгол дәүләтенә иҙ ирке менән ҡушылыуы, һәм шул арҡала тархандары һәм бейҙәре юҡ ителеүҙән ҡотолоуҙыры тураһында фараз итә.  Ҡаты яуҙан һуң наймандар еңелә, ә Джамуха яу барышында уҡ наймандарҙың еңелеүен һиҙемләп, ғәскәре менән ҡаса.  Уларҙың өйләнешеүенән һуң күп тә үтмәй, Бортены меркеттәр урлай һәм ул меркет һуғышсыларының береһенә ҡатынлыҡҡа бирелә.  Сыңғыҙҙың атаһы Есугей (Боржигиндарҙың нойоны, Амбахай һәм Хотол хандың ҡустыһы) Монгол ҡабиләләренең юлбашсыһы булып ҡалҡып сыға, әммә уның хакимлығына Амбахайҙың тура вариҫы тайчиуттар ҡаршы сыға.
	Бала сағы

	9 йәшлек сағында Темуджин атаһы менән унгират ҡәбиләһенә, буласаҡ ҡатыны Бортеның ғаиләһенә бара.  Үҫәргән башҡорттары шәжәрәһендә Мөйтән бейҙең Сыңғыҙған менән Иртыш буйында осрашыуы тасуирлана.  Башҡортостан дәүлетеселеге буйынса билдәле ғалим Зөфәр Еникиев фаразлауынса, был фекерҙәр барыһы ла урынлы.  Уның нүкәрҙәре ла, малдары ла ишәйә.  Унгират ерҙәренән кире ҡайтҡан ваҡытта, уның атаһы оҙаҡ ваҡыт дауамында дошманлашҡан күрше татарҙар тарафынан ағыулана.  Сыңғыҙхандың ейәне Батый етәкселеге аҫтында монголдар был ерҙәргә тағы килә һәм 1237 йылда Волга Булғарҙарын һәм Киев Русияһын баҫып алып, 1240 йылда кире борола.
	Көнбайыш Си Ся һәм Цзинь династияһы менән һуғыша.


 Сыңғыҙхан Ҡара Ҡытайҙы баҫып алып, Кучулукты еңеп сығырға ниәтләй.  Джамуханы һатҡан кешене ул үлтерергә бойора — үҙенең ғәскәренә ул һатлыҡтарҙы ҡабул итмәй.  Темуджин был хәйләне аңлап ҡала, яу асмайынса, сигенә һәм эҙен яҙҙыра. 
